obs_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""912.5471""","=""35000""","=""1.89e+07""",B,"=""11.54835442""","=""12.90701530""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",5,3,,
"=""919.7161""","=""550""","=""1.76e+06""",C,"=""12.90701530""","=""14.2550856""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",3,3,,
"=""922.7030""","=""15000""","=""5.0e+06""",B,"=""11.82807116""","=""13.17177770""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""",3,5,,
"=""929.4081""","=""400""","=""3.26e+06""",C,"=""12.90701530""","=""14.2410277""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",3,1,,
"=""935.6787""","=""1600""","=""1.06e+06""",B,"=""11.82807116""","=""13.15314387""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",3,3,,
"=""966.0435""","=""25000""","=""5.4e+06""",B,"=""11.62359272""","=""12.90701530""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",3,3,,
"=""978.7186""","=""4500""","=""1.47e+06""",B,"=""11.82807116""","=""13.09487256""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",3,5,,
"=""1047.2923""","=""1600""","=""9.8e+05""",C+,"=""11.72316039""","=""12.90701530""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",1,3,,
"=""1050.938""","=""180""","=""1.58e+06""",C,"=""13.9034546""","=""15.0832027""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",5,7,,
"=""1067.6489""","=""200""","=""4.9e+06""",D,"=""12.90701530""","=""14.0682977""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",3,5,,
"=""1149.1254""","=""400""","=""1.9e+05""",C,"=""11.82807116""","=""12.90701530""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",3,3,,
"=""1167.1904""","=""200""","=""3.76e+06""",C,"=""13.17177770""","=""14.2340226""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",5,5,,
